"Metal Name","Work Function","Energy","Voltage","Current","Intensity"
,"2.27","8.781754545454545E-20","0.0","0.0","0.0"
,"2.27","8.781754545454545E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","5.019491666666661E-20","0.0","0.0","0.0"
,"2.27","0.0","0.0","NaN","0.0"
,"2.27","0.0","0.0","NaN","0.0"
,"2.27","0.0","0.0","NaN","0.0"
,"2.27","0.0","0.0","NaN","0.0"
,"2.27","0.0","0.0","9.121184107959375E-4","0.5"
,"2.27","0.0","0.0","0.001094542092955125","0.6"
,"2.27","0.0","0.0","0.001094542092955125","0.6"
,"2.27","0.0","0.0","0.001094542092955125","0.6"
,"2.27","0.0","0.0","0.001094542092955125","0.6"
,"2.27","0.0","0.0","Infinity","0.5"
,"2.27","0.0","1.0","5.0E-4","0.5"
,"2.27","0.0","1.0","5.0E-4","0.5"
